year,name,total_units,units_1,units_2,units_3_4,units_5_more,structures_units_5_more,note
2005,"San Luis Obispo-Paso Robles, CA",2316,1875,24,34,383,54,NA
2005,"Sandusky, OH",423,223,0,12,188,27,NA
2005,"Santa Barbara-Santa Maria, CA",1050,763,64,40,183,10,NA
2005,"Santa Cruz-Watsonville, CA",861,673,8,16,164,18,NA
2005,"Santa Fe, NM",580,580,0,0,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Santa Rosa-Petaluma, CA",2819,1598,98,66,1057,77,NA
2005,"Sarasota-Bradenton-Venice, FL",14045,11395,132,194,2324,168,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Savannah, GA",4146,3422,72,151,501,32,NA
2005,"Scranton--Wilkes-Barre, PA",1382,1298,14,39,31,5,NA
2005,"Seattle-Tacoma-Bellevue, WA",25519,17565,706,883,6365,352,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Sebastian-Vero Beach, FL",3819,3657,46,40,76,10,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Sheboygan, WI",506,371,80,19,36,3,NA
2005,"Sherman-Denison, TX",744,423,34,4,283,7,NA
2005,"Shreveport-Bossier City, LA",2540,1790,124,3,623,31,NA
2005,"Sioux City, IA-NE-SD",325,301,12,12,0,0,NA
2005,"Sioux Falls, SD",2295,1869,22,95,309,26,NA
2005,"South Bend-Mishawaka, IN-MI",1382,1108,0,8,266,17,NA
2005,"Spartanburg, SC",2131,2123,4,4,0,0,NA
2005,"Spokane, WA",4396,3557,118,96,625,82,NA
2005,"Springfield, IL",1000,729,182,8,81,6,NA
2005,"Springfield, MA",1656,1391,164,21,80,8,NA
2005,"Springfield, MO",5115,3723,232,99,1061,59,NA
2005,"Springfield, OH",287,247,12,23,5,1,NA
2005,"St. Cloud, MN",1714,1541,6,24,143,14,NA
2005,"St. George, UT",3848,3563,14,37,234,22,NA
2005,"St. Joseph, MO-KS",297,229,28,0,40,6,NA
2005,"St. Louis, MO-IL",15506,13362,354,329,1461,101,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"State College, PA",701,663,24,8,6,1,NA
2005,"Stockton, CA",5869,5684,36,27,122,12,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Sumter, SC",627,571,52,4,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Syracuse, NY",1646,1445,30,20,151,19,NA
2005,"Tallahassee, FL",4283,2833,108,250,1092,48,NA
2005,"Tampa-St. Petersburg-Clearwater, FL NA",34174,27643,366,575,5590,273,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Terre Haute, IN",503,314,24,9,156,14,NA
2005,"Texarkana, TX-Texarkana, AR",248,220,28,0,0,0,NA
2005,"Toledo, OH",3166,2397,120,92,557,40,NA
2005,"Topeka, KS",1191,1130,10,30,21,1,NA
2005,"Trenton-Ewing, NJ",1296,1221,4,3,68,1,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Tucson, AZ",11644,11166,186,135,157,24,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Tulsa, OK",5644,4994,108,24,518,24,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Tuscaloosa, AL",1727,1308,2,0,417,23,NA
2005,"Tyler, TX",745,604,10,39,92,13,NA
2005,"Utica-Rome, NY",596,563,2,3,28,3,NA
2005,"Valdosta, GA",1226,1109,44,7,66,4,NA
2005,"Vallejo-Fairfield, CA",2354,1962,16,11,365,36,NA
2005,"Victoria, TX",241,238,0,3,0,0,NA
2005,"Vineland-Millville-Bridgeton, NJ",630,597,16,4,13,1,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Virginia Beach-Norfolk-Newport News, VA-NC",11360,7667,330,278,3085,165,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Visalia-Porterville, CA",3317,2944,26,281,66,2,NA
2005,"Waco, TX",1322,1015,54,4,249,7,NA
2005,"Warner Robins, GA",1825,1685,20,0,120,13,NA
2005,"Washington-Arlington-Alexandria, DC-VA-MD-WV",36776,25918,156,47,10655,219,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Waterloo-Cedar Falls, IA",735,555,16,20,144,8,NA
2005,"Wausau, WI",1178,870,26,16,266,25,NA
2005,"Weirton-Steubenville, WV-OH",59,55,0,4,0,0,NA
2005,"Wenatchee, WA",902,838,8,51,5,1,NA
2005,"Wheeling, WV-OH",91,53,4,16,18,1,NA
2005,"Wichita Falls, TX",565,315,16,164,70,9,NA
2005,"Wichita, KS",3349,2962,238,101,48,3,NA
2005,"Williamsport, PA",299,261,6,0,32,1,NA
2005,"Wilmington, NC",9206,7685,346,50,1125,77,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Winchester, VA-WV",1783,1719,0,0,64,1,NA
2005,"Winston-Salem, NC",3994,3690,14,12,278,18,NA
2005,"Worcester, MA",3598,3154,102,142,200,11,NA
2005,"Yakima, WA",780,739,14,0,27,2,NA
2005,"York-Hanover, PA",3116,2870,96,55,95,14,NA
2005,"Youngstown-Warren-Boardman, OH-PA",1228,1079,60,48,41,7,NA
2005,"Yuba City, CA",2994,2961,2,0,31,4,NA
2005,"Yuma, AZ",2308,2276,2,0,30,6,NA
